32, 24, 32, 0_mapOne.png, 0_mapTwo.png, 
1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
1:0, 1:0, 1:0, 1:0, 1:17, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:4, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
1:0, 1:0, 1:0, 1:16, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
1:0, 1:0, 1:0, 1:0, 1:0, 1:34, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 1:0, 
