32, 24, 32, 0_mapOne.png, 
0:2, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:16, 0:3, 
0:4, 0:20, 0:41, 0:20, 0:41, 0:20, 0:41, 0:20, 0:41, 0:20, 0:41, 0:20, 0:41, 0:21, 0:41, 0:18, 0:19, 0:41, 0:21, 0:41, 0:20, 0:41, 0:20, 0:41, 0:20, 0:41, 0:20, 0:41, 0:20, 0:41, 0:20, 0:5, 
0:4, 0:29, 0:41, 0:29, 0:41, 0:29, 0:41, 0:29, 0:41, 0:29, 0:41, 0:29, 0:41, 0:30, 0:41, 0:27, 0:28, 0:41, 0:30, 0:41, 0:29, 0:41, 0:29, 0:41, 0:29, 0:41, 0:29, 0:41, 0:29, 0:41, 0:29, 0:5, 
0:4, 0:32, 0:22, 0:9, 0:32, 0:24, 0:15, 0:9, 0:15, 0:22, 0:9, 0:24, 0:15, 0:9, 0:9, 0:9, 0:15, 0:31, 0:9, 0:24, 0:24, 0:24, 0:22, 0:9, 0:9, 0:32, 0:23, 0:9, 0:9, 0:32, 0:32, 0:5, 
0:4, 0:24, 0:9, 0:32, 0:9, 0:9, 0:9, 0:9, 0:9, 0:24, 0:9, 0:9, 0:12, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:13, 0:9, 0:25, 0:9, 0:15, 0:9, 0:33, 0:13, 0:9, 0:22, 0:9, 0:5, 
0:4, 0:33, 0:15, 0:25, 0:24, 0:9, 0:13, 0:9, 0:9, 0:9, 0:13, 0:9, 0:15, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:24, 0:9, 0:9, 0:12, 0:9, 0:32, 0:9, 0:9, 0:15, 0:9, 0:5, 
0:4, 0:9, 0:9, 0:24, 0:9, 0:24, 0:9, 0:9, 0:24, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:24, 0:9, 0:24, 0:9, 0:9, 0:9, 0:24, 0:15, 0:9, 0:15, 0:5, 
0:4, 0:9, 0:15, 0:15, 0:9, 0:9, 0:9, 0:9, 0:25, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:36, 0:36, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:13, 0:9, 0:33, 0:15, 0:9, 0:12, 0:9, 0:31, 0:5, 
0:4, 0:9, 0:22, 0:9, 0:9, 0:9, 0:24, 0:9, 0:15, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:25, 0:9, 0:9, 0:9, 0:5, 
0:4, 0:9, 0:9, 0:9, 0:24, 0:24, 0:44, 0:44, 0:44, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:24, 0:9, 0:9, 0:9, 0:22, 0:9, 0:15, 0:5, 
0:4, 0:15, 0:12, 0:9, 0:9, 0:15, 0:46, 0:48, 0:46, 0:9, 0:9, 0:37, 0:37, 0:37, 0:9, 0:9, 0:9, 0:9, 0:37, 0:37, 0:37, 0:9, 0:9, 0:24, 0:9, 0:9, 0:24, 0:9, 0:9, 0:24, 0:15, 0:5, 
0:4, 0:9, 0:9, 0:9, 0:15, 0:9, 0:9, 0:9, 0:9, 0:15, 0:9, 0:37, 0:37, 0:37, 0:37, 0:35, 0:35, 0:37, 0:37, 0:37, 0:37, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:13, 0:9, 0:9, 0:9, 0:5, 
0:4, 0:9, 0:9, 0:9, 0:25, 0:9, 0:9, 0:24, 0:9, 0:9, 0:9, 0:9, 0:37, 0:37, 0:37, 0:35, 0:35, 0:37, 0:37, 0:37, 0:9, 0:9, 0:9, 0:9, 0:9, 0:15, 0:9, 0:9, 0:9, 0:9, 0:12, 0:5, 
0:4, 0:32, 0:33, 0:13, 0:9, 0:9, 0:9, 0:9, 0:13, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:15, 0:13, 0:9, 0:44, 0:44, 0:25, 0:24, 0:9, 0:9, 0:5, 
0:4, 0:24, 0:9, 0:9, 0:9, 0:15, 0:24, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:46, 0:46, 0:9, 0:9, 0:9, 0:9, 0:15, 0:9, 0:9, 0:9, 0:48, 0:48, 0:9, 0:24, 0:9, 0:9, 0:5, 
0:4, 0:9, 0:9, 0:15, 0:15, 0:24, 0:24, 0:15, 0:24, 0:9, 0:15, 0:9, 0:9, 0:9, 0:9, 0:46, 0:46, 0:9, 0:9, 0:9, 0:9, 0:15, 0:15, 0:24, 0:15, 0:24, 0:9, 0:9, 0:9, 0:33, 0:31, 0:5, 
0:4, 0:22, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:24, 0:9, 0:9, 0:9, 0:9, 0:15, 0:9, 0:24, 0:24, 0:9, 0:15, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:24, 0:9, 0:15, 0:24, 0:5, 
0:4, 0:15, 0:12, 0:9, 0:24, 0:9, 0:13, 0:9, 0:15, 0:9, 0:9, 0:9, 0:9, 0:40, 0:9, 0:24, 0:24, 0:9, 0:40, 0:9, 0:9, 0:9, 0:9, 0:9, 0:24, 0:24, 0:9, 0:24, 0:9, 0:9, 0:9, 0:5, 
0:4, 0:15, 0:9, 0:9, 0:15, 0:9, 0:9, 0:25, 0:9, 0:24, 0:15, 0:9, 0:9, 0:40, 0:9, 0:24, 0:24, 0:9, 0:40, 0:9, 0:9, 0:9, 0:24, 0:9, 0:9, 0:9, 0:9, 0:24, 0:9, 0:13, 0:9, 0:5, 
0:4, 0:9, 0:9, 0:25, 0:33, 0:9, 0:9, 0:12, 0:9, 0:9, 0:9, 0:9, 0:24, 0:40, 0:9, 0:15, 0:13, 0:9, 0:40, 0:9, 0:9, 0:9, 0:9, 0:9, 0:24, 0:12, 0:25, 0:15, 0:9, 0:9, 0:24, 0:5, 
0:4, 0:9, 0:9, 0:24, 0:15, 0:24, 0:9, 0:9, 0:24, 0:9, 0:15, 0:9, 0:9, 0:40, 0:9, 0:9, 0:9, 0:24, 0:40, 0:15, 0:9, 0:15, 0:9, 0:33, 0:15, 0:9, 0:9, 0:9, 0:9, 0:12, 0:9, 0:5, 
0:4, 0:15, 0:9, 0:9, 0:22, 0:9, 0:9, 0:9, 0:9, 0:13, 0:9, 0:9, 0:15, 0:40, 0:24, 0:13, 0:25, 0:9, 0:40, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:9, 0:15, 0:24, 0:15, 0:9, 0:9, 0:5, 
0:4, 0:31, 0:9, 0:15, 0:9, 0:9, 0:9, 0:24, 0:9, 0:24, 0:9, 0:24, 0:9, 0:13, 0:9, 0:15, 0:9, 0:13, 0:9, 0:9, 0:24, 0:15, 0:15, 0:9, 0:24, 0:24, 0:9, 0:9, 0:15, 0:15, 0:9, 0:5, 
0:1, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:7, 0:0, 
